doi,volume,year,title_local,authors_local,pdf_url,openalex_id,title_oa,cited_by_count,n_authors,is_oa,type,publication_date,countries,institutions
10.5281/zenodo.18215326,42,2026,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,"Takaaki Fujita, Volkan Duran, Ajoy Kanti Das, Suman Das, Arif Mehmood, Talal Al-Hawary, Arkan A. Ghaib, Sankar Prasad Mondal, Mithun Datta",https://fs.unm.edu/NCML/1-1-42EnhancedConceptsMethodsRepresentingRealLife.pdf,https://openalex.org/W7122586221,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,0,1,True,article,2026-01-11,,
10.5281/zenodo.18217066,42,2026,Sistema IOT Basado En Técnicas De Visión Artificial Para La Prevención De Accidentes En Piscinas,"Freddy Rodrigo Puedma Acaro, Roberto Felipe Chuchimbe Proaño",https://fs.unm.edu/NCML/2-43-52SistemaIOTBasadoTecnicasVisionArtificial.pdf,https://openalex.org/W7123263215,Sistema IOT Basado En Técnicas De Visión Artificial Para La Prevención De Accidentes En Piscinas,0,1,True,article,2026-01-12,C|E|EC,Universidad Estatal de Bolívar|University of Guayaquil
10.5281/zenodo.18227662,42,2026,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP-TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,"Maico Alexander Almeida Almeida, Laura Eledina Gutierrez Merchan",https://fs.unm.edu/NCML/3-53-64SistemaSeleccionEstrategiasRecuperacion.pdf,https://openalex.org/W7123975140,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP– TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,0,1,True,article,2026-01-13,C|E|EC,Universidad Estatal de Bolívar|University of Guayaquil
10.5281/zenodo.18227671,42,2026,"MultiTree-Soft, PseudoTree-Soft Set, HyperTree-Soft, and Tree-to-Tree-Soft Set","Takaaki Fujita, Arif Mehmood, Ajoy Kanti Das, Suman Das, Volkan Duran, Arkan A. Ghaib, Talal Al-Hawary",https://fs.unm.edu/NCML/4-65-87MultiTreeSoftPseudoTreeSoftHyperTreeSoft.pdf,https://openalex.org/W7123479180,"MultiTree-Soft, PseudoTree-Soft Set, HyperTree-Soft, and Tree-to-Tree-Soft Set",0,1,True,article,2026-01-13,,
10.5281/zenodo.18276658,42,2026,Análisis Neutrosófico Fuzzy-Set QCA del Impacto de la Inteligencia Artificial Generativa en el Desempeño Académico de Estudiantes de Programación: Una Perspectiva Epistémica Basada en Datos,"Josué Abraham Guillén Bobadilla, Maikel Yelandy Leyva Vázquez",https://fs.unm.edu/NCML/5-88-97AnalisisNeutrosoficoFuzzySetQCA.pdf,https://openalex.org/W7124627774,Análisis Neutrosófico Fuzzy-Set QCA del Impacto de la Inteligencia Artificial Generativa en el Desempeño Académico de Estudiantes de Programación: Una Perspectiva Epistémica Basada en Datos,0,1,True,article,2026-01-17,C|E|EC,University of Guayaquil
10.5281/zenodo.18276679,42,2026,Análisis predictivo de salarios de desarrolladores latinoamericanos con encuesta Stack Overflow 2025,"Jonathan Kenny Vera Macias, Miguel Angel Quiroz Martinez, Dayron Rumbaut Rangel",https://fs.unm.edu/NCML/6-98-107AnalisisPredictivo%20SalariosDesarrolladoresLatinoamericanos.pdf,https://openalex.org/W7124537161,Análisis predictivo de salarios de desarrolladores latinoamericanos con encuesta Stack Overflow 2025,0,1,True,article,2026-01-17,EC,Universidad Bolivariana del Ecuador
10.5281/zenodo.18276695,42,2026,Inteligencia de negocios para optimizar el desempeño de asesores educativos en educación superior privada,"Fernando Eduardo Alvarado Véliz, Johanna Irene Escobar Jara, Dayron Rumbaut Rangel",https://fs.unm.edu/NCML/7-108-127InteligenciaNegociosOptimizarDesempenoAsesores.pdf,https://openalex.org/W7124626824,Inteligencia de negocios para optimizar el desempeño de asesores educativos en educación superior privada,0,1,True,article,2026-01-17,B|BG|C|E|EC|G,"""Hadji Dimitar"" Hospital|Universidad Agraria del Ecuador|Universidad Estatal de Bolívar"
10.5281/zenodo.18294361,42,2026,"Framework Neutrosófico N-AHP-N-TOPSIS asistido por LLMs para la Selección de Plataformas Cloud y Prácticas DevOps en Aseguradoras del Ecuador: Modelo, Caso de Estudio, Sensibilidad y Reproducibilidad",Bradley Corro,https://fs.unm.edu/NCML/8-128-156FrameworkNeutrosoficoNAHPNTOPSIS.pdf,https://openalex.org/W7124557451,"Framework Neutrosófico N–AHP–N–TOPSIS asistido por LLMs para la Selección de Plataformas Cloud y Prácticas DevOps en Aseguradoras del Ecuador: Modelo, Caso de Estudio, Sensibilidad y Reproducibilidad",0,1,True,article,2026-01-19,EC,Universidad Bolivariana del Ecuador
10.5281/zenodo.18294378,42,2026,Selección Neutrosófica AHP-TOPSIS de Proveedores Tecnológicos en Seguridad Informática para una Institución Financiera,Juan José Calle De La A,https://fs.unm.edu/NCML/9-157-166SeleccionNeutrosofica%20AHPTOPSISProveedores.pdf,https://openalex.org/W7124551056,Selección Neutrosófica AHP–TOPSIS de Proveedores Tecnológicos en Seguridad Informática para una Institución Financiera,0,1,True,article,2026-01-19,EC,Universidad Bolivariana del Ecuador
10.5281/zenodo.18307265,42,2026,Neutrosophic Analysis of Competing Hypotheses (NACH): A Novel Framework for Complex Causal Modeling with Applications to Climate Change and Urban Violence,"Maikel Y. Leyva, Florentin Smarandache",https://fs.unm.edu/NCML/10-167-177NeutrosophicAnalysisCompetingHypotheses.pdf,https://openalex.org/W7124912335,Neutrosophic Analysis of Competing Hypotheses (NACH) A Novel Framework for Complex Causal Modeling with Applications to Climate Change and Urban Violence,0,1,True,article,2026-01-20,C|E|EC,University of Guayaquil
