cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
860,Carmen Marina Méndez Cabrita,29,0000-0001-8672-3450,,,"Carmen Marina Méndez Cabrita ;; Carmen Marina, Méndez Cabrita ;; Méndez Cabrita Carmen Marina ;; Méndez Cabrita, Carmen Marina",2023,2025
1302,Florentin Smarandache,25,0000-0002-5560-5926,Universidad Autónoma de Nuevo León|University of New Mexico,MX|US,"Florentin Smarandache ;; Florentino Smarandache ;; Florentín Smarandache ;; Florent�n Smarandache ;; Smarandache, Florentin",2018,2025
1362,Maikel Leyva Vázquez,19,0000-0001-7911-5879,Politecnica Salesiana University|University of Guayaquil,EC,"Leyva Vázquez, Maikel ;; Leyva Vázquez, Maikel Y. ;; Maikel Leyva Vazquez ;; Maikel Leyva Vázquez ;; Maikel Leyva-Vazquez ;; Maikel Y. Leyva Vázquez ;; Vázquez, Maikel Leyva",2018,2025
601,Josía Jeseff Isea Arguelles,14,,,,Josia Jeseff Isea Arguelles ;; Josía Jeseff Isea  Arguelles ;; Josía Jeseff Isea Arguelles ;; Josía Jeseff Isea Argüelles,2024,2025
744,Santiago Fernando Fiallos Bonilla,12,,,,Santiago  Fernando Fiallos Bonilla ;; Santiago Fernando Fiallos Bonilla,2023,2025
635,Ned Vito Quevedo Arnaiz,11,,,,Ned Vito Quevedo Arnaiz,2024,2025
745,Andrea Katherine Bucaram Caicedo,10,,,,Andrea Katherine Bucaram Caicedo,2023,2025
42,"Fujita, Takaaki",10,,Pathfinder International|Shinjuku College of Information Technology,JP|US,"Fujita, Takaaki ;; Fujita1, Takaaki ;; Takaaki Fujita",2025,2026
603,Janeth Ximena Iglesias Quintana,9,,,,"Iglesias Quintana, Janneth Ximena ;; Janeth Ximena Iglesias Quintana ;; Janneth Ximena Iglesias Quintana",2018,2025
817,Jeannette Amparito Urrutia Guevara,9,,,,"Jeannette Amparito Urrutia Guevara ;; Urrutia Guevara, Jeannette Amparito",2023,2025
831,Geovanny Leopoldo Borja Martínez,9,,,,Geovanny Leopoldo Borja Martinez ;; Geovanny Leopoldo Borja Martínez,2023,2025
889,Luis Andrés Crespo Berti,9,0000-0001-8609-4738,,,Luis Andrés Crespo Berti ;; Luis Andrés Crespo-Berti ;; Luís Andrés Crespo Berti,2023,2025
1113,Rómulo Guillermo López Torres,8,0000-0001-9656-3876,,,"López Torres, Rómulo Guillermo ;; Rómulo Guillermo López Torres",2022,2025
634,Cristian Fernando Benavides Salazar,8,,,,Cristian Fernando Benavides Salazar,2024,2025
900,Segundo Heriberto Granja Huacón,7,0009-0007-6058-2478,Universidad Regional Autónoma de Los Andes,EC,"Granja Huacon Segundo Heriberto ;; Granja Huacon, Segundo Heriberto ;; Segundo Heriberto Granja Huacón ;; Segundo Heriberto Granja-Huacon",2023,2025
839,Mónica Alexandra Bustos Villarreal,7,,,,Mónica Alexandra Bustos Villarreal,2023,2024
1137,Pablo Miguel Vaca Acosta,7,,,,Pablo Miguel Vaca Acosta,2021,2025
1025,Raúl González Salas,7,0000-0003-1623-3709,,,Raúl González Salas ;; Raúl González-Salas,2022,2025
779,Jairo Mauricio Puetate Paucar,7,,,,"Jairo Mauricio Puetate  Paucar ;; Jairo Mauricio Puetate Paucar ;; Puetate Paucar, Jairo Mauricio",2023,2025
576,Piedad Elizabeth Acurio Padilla,6,,,,Piedad Elizabeth Acurio Padilla,2024,2025
837,Mayra Jeaneth Jiménez Jiménez,6,0000-0002-7424-7714,,,Mayra Jeaneth Jiménez Jiménez,2023,2024
1116,Nairovys Gómez Martínez,6,0000-0001-7986-8328|0000-0003-1120-8408,,,Nairovys Gómez Martínez,2022,2025
813,Juan Diego Zurita Vargas,6,,,,"Juan Diego Zurita Vargas ;; Zurita Vargas, Juan Diego",2023,2025
1082,Mónica Gabriela Chachalo Sandoval,6,,,,Monica Gabriela Chachalo Sandoval ;; Mónica Gabriela Chachalo Sandoval,2022,2025
652,Mildre Mercedes Vidal del Río,6,0000-0003-3496-5057,,,Mildre Mercedes Vidal del Río ;; Mildred Mercedes Vidal del Río,2022,2025
677,Adriana María García Novillo,6,,,,Adriana María García Novillo,2024,2024
761,Marcelo Raúl Dávila Castillo,6,,,,"Dávila Castillo, Marcelo Raúl ;; Marcelo Raúl Castillo Dávila ;; Marcelo Raúl Dávila Castillo",2023,2025
