doi,volume,year,source,position,name,orcid,oa_author_id,institutions,countries,name_norm
10.5281/zenodo.18215326,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122749570,,,Takaaki Fujita
10.5281/zenodo.18217066,42,2026,openalex,first,Freddy Rodrigo Puedma Acaro,,https://openalex.org/A5122834922,Universidad Estatal de Bolívar|University of Guayaquil,EC,Freddy Rodrigo Puedma Acaro
10.5281/zenodo.18227662,42,2026,openalex,first,Maico Alexander Almeida Almeida,,https://openalex.org/A5122971135,University of Guayaquil|Universidad Estatal de Bolívar,EC,Maico Alexander Almeida Almeida
10.5281/zenodo.18227671,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122917871,,,Takaaki Fujita
10.5281/zenodo.18276658,42,2026,openalex,first,Josué Abraham Guillén Bobadilla,,https://openalex.org/A5123259009,University of Guayaquil,EC,Josué Abraham Guillén Bobadilla
10.5281/zenodo.18276679,42,2026,openalex,first,Ing. Jonathan Kenny Vera Macias,,https://openalex.org/A5123252585,Universidad Bolivariana del Ecuador,EC,Ing. Jonathan Kenny Vera Macias
10.5281/zenodo.18276695,42,2026,openalex,first,Fernando Eduardo Alvarado Véliz,,https://openalex.org/A5123287339,"Universidad Estatal de Bolívar|""Hadji Dimitar"" Hospital|Universidad Agraria del Ecuador",BG|EC,Fernando Eduardo Alvarado Véliz
10.5281/zenodo.18294361,42,2026,openalex,first,Ing. Bradley Corro,,https://openalex.org/A5123283554,Universidad Bolivariana del Ecuador,EC,Ing. Bradley Corro
10.5281/zenodo.18294378,42,2026,openalex,first,Juan José Calle De La A,,https://openalex.org/A5123278824,Universidad Bolivariana del Ecuador,EC,Juan José Calle De La A
10.5281/zenodo.18307265,42,2026,openalex,first,Maikel Leyva,,https://openalex.org/A5107884004,University of Guayaquil,EC,Maikel Leyva
10.5281/zenodo.18330231,42,2026,openalex,first,Evelyn Esthefani Checa Infante,,https://openalex.org/A5123537615,Portuguese School of Bank Management,PT,Evelyn Esthefani Checa Infante
10.5281/zenodo.18331786,42,2026,openalex,first,Yismandry González Vargas,,https://openalex.org/A5121147176,University of Holguín,CU,Yismandry González Vargas
10.5281/zenodo.18331786,42,2026,openalex,last,Diana Padrón Carrasco,,https://openalex.org/A5121209372,Universidad de Ciego de Ávila,CU,Diana Padrón Carrasco
10.5281/zenodo.18344126,42,2026,openalex,first,Maykel Yelandy Leyva Vázquez,,https://openalex.org/A5123683729,University of Guayaquil,EC,Maykel Yelandy Leyva Vázquez
10.5281/zenodo.18354703,42,2026,openalex,first,Guillermo Fernando Barreto Aimacaña,,https://openalex.org/A5123697140,Universidad Bolivariana del Ecuador,EC,Guillermo Fernando Barreto Aimacaña
10.5281/zenodo.18905639,42,2026,openalex,first,Jean Carlos Castro Barrera,,https://openalex.org/A5128294983,Universidad Estatal de Bolívar,EC,Jean Carlos Castro Barrera
10.5281/zenodo.18905639,42,2026,openalex,middle,Alexis Adrián Ramírez Lara,,https://openalex.org/A5128281130,Universidad Estatal de Bolívar,EC,Alexis Adrián Ramírez Lara
10.5281/zenodo.18905639,42,2026,openalex,middle,Glen Freddy Robayo Cabrera,,https://openalex.org/A5128319239,"""Hadji Dimitar"" Hospital|Universidad Bolivariana del Ecuador",BG,Glen Freddy Robayo Cabrera
10.5281/zenodo.18905639,42,2026,openalex,last,Aviles Quiñonez Willian Paul,,https://openalex.org/A5128299316,Universidad Bolivariana del Ecuador,EC,Aviles Quiñonez Willian Paul
10.5281/zenodo.18932284,42,2026,openalex,first,Jenny Natalia Cortez Gavilanez,,https://openalex.org/A5128650913,Universidad Bolivariana del Ecuador,EC,Jenny Natalia Cortez Gavilanez
10.5281/zenodo.18932300,42,2026,openalex,first,Javier Antonio Rubio Toaza,,https://openalex.org/A5128688841,Universidad Bolivariana del Ecuador,EC,Javier Antonio Rubio Toaza
10.5281/zenodo.18932322,42,2026,openalex,first,Dalton Andrés Pazmiño Pérez,,https://openalex.org/A5128642553,University of Guayaquil|Universidad Estatal de Bolívar,EC,Dalton Andrés Pazmiño Pérez
10.5281/zenodo.18905720,42,2026,openalex,first,Cruz Veronica Cruz Veronica Ponce Alvarez,,https://openalex.org/A5128373738,Universidad Estatal del Sur de Manabi,EC,Cruz Veronica Cruz Veronica Ponce Alvarez
10.5281/zenodo.18905720,42,2026,openalex,last,Marcela Elizabeth Mora Pin,,https://openalex.org/A5128375538,Universidad Estatal del Sur de Manabi,EC,Marcela Elizabeth Mora Pin
10.5281/zenodo.18215326,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122749570,,,Takaaki Fujita
10.5281/zenodo.18991384,42,2026,openalex,first,Ginger Elizabeth Salazar Pin,,https://openalex.org/A5128836385,Universidad Estatal del Sur de Manabi,EC,Ginger Elizabeth Salazar Pin
10.5281/zenodo.18991384,42,2026,openalex,last,Monica Virginia Choez Pérez,,https://openalex.org/A5128918758,Universidad Estatal del Sur de Manabi,EC,Monica Virginia Choez Pérez
10.5281/zenodo.18991653,42,2026,openalex,first,Gloria Pascuala Chiquito Tigua,,https://openalex.org/A5128905213,Universidad Estatal del Sur de Manabi,EC,Gloria Pascuala Chiquito Tigua
10.5281/zenodo.18991653,42,2026,openalex,last,Yagual Jaime Suying Nicoll,,https://openalex.org/A5128873871,Universidad Estatal del Sur de Manabi,EC,Yagual Jaime Suying Nicoll
10.5281/zenodo.19075590,42,2026,openalex,first,Elio Jorge Fischer Romero,,https://openalex.org/A5129717691,Universidad Estatal de Bolívar|Universidad Bolivariana del Ecuador,EC,Elio Jorge Fischer Romero
10.5281/zenodo.19078554,42,2026,openalex,first,Almeida Almeida Maico Alexander,,https://openalex.org/A5129794593,University of Guayaquil|Universidad Estatal de Bolívar,EC,Almeida Almeida Maico Alexander
10.5281/zenodo.19078832,42,2026,openalex,first,Janner Steeven Guagua Alcivar,,https://openalex.org/A5129838909,Universidad Bolivariana del Ecuador,EC,Janner Steeven Guagua Alcivar
10.5281/zenodo.19080256,42,2026,openalex,first,Lady Nicole Guaranga Naranjo,,https://openalex.org/A5130161394,Universidad Pontificia Bolivariana|Bolivarian University of Venezuela,CO|VE,Lady Nicole Guaranga Naranjo
10.5281/zenodo.19080474,42,2026,openalex,first,Vilma Monserrat Cabrera Frias,,https://openalex.org/A5129898963,Central University of Ecuador,EC,Vilma Monserrat Cabrera Frias
10.5281/zenodo.17247347,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki"
10.5281/zenodo.17247940,41,2025,openalex,first,"Maturell Aguilera, Araíz",,,University of Holguín,CU,"Maturell Aguilera, Araíz"
10.5281/zenodo.17254692,41,2025,openalex,first,"Giler Zambrano, Rosa Cristina",,,Universidad Estatal de Bolívar,EC,"Giler Zambrano, Rosa Cristina"
10.5281/zenodo.17254700,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki"
10.5281/zenodo.17263068,41,2025,openalex,first,"Vera Macias, Jonathan",,,Bolivarian University of Venezuela,VE,"Vera Macias, Jonathan"
10.5281/zenodo.17373916,41,2025,openalex,first,"Atiencie Gutiérrez1, María Leonor",,,University of Guayaquil,EC,"Atiencie Gutiérrez1, María Leonor"
10.5281/zenodo.17374286,41,2025,openalex,first,"Sarango Ramos, Byron Leonardo",,,Departamento de Educación,ES,"Sarango Ramos, Byron Leonardo"
10.5281/zenodo.17402872,41,2025,openalex,first,"Smarandache, Florentin",,,Universidad Autónoma de Nuevo León,MX,"Smarandache, Florentin"
10.5281/zenodo.17459985,41,2025,openalex,first,"Pando Farez, Johanna Maribel",,,Universidad Estatal de Bolívar,EC,"Pando Farez, Johanna Maribel"
10.5281/zenodo.17586126,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki"
10.5281/zenodo.17586150,41,2025,openalex,first,"Varela Lozano, Victor",,,Universidad Bolivariana del Ecuador,EC,"Varela Lozano, Victor"
10.5281/zenodo.17586163,41,2025,openalex,first,"Fujita, Takaaki",,,,,"Fujita, Takaaki"
10.5281/zenodo.17586185,41,2025,openalex,first,"Maikel Leyva Vázquez, Maikel",,,University of Guayaquil,EC,"Maikel Leyva Vázquez, Maikel"
10.5281/zenodo.17594161,41,2025,datacite,first,"Proaño Suárez, Cristian Iván",,,,,"Proaño Suárez, Cristian Iván"
10.5281/zenodo.17594438,41,2025,datacite,first,"Gonzalez Vargas, 1Msc. Yismandry",,,,,"Gonzalez Vargas, 1Msc. Yismandry"
10.5281/zenodo.17613979,41,2025,openalex,first,"Villarreal Valencia, Andrés",,,Universidad Andina Simón Bolívar|Central University of Ecuador,EC,"Villarreal Valencia, Andrés"
10.5281/zenodo.17636297,41,2025,openalex,first,"Morillo Cabrera, Natasha Jasmin",,,Bolivarian University of Venezuela,VE,"Morillo Cabrera, Natasha Jasmin"
10.5281/zenodo.17643966,41,2025,openalex,first,"Guilart Caisés, Ernesto",,,University of Holguín,CU,"Guilart Caisés, Ernesto"
10.5281/zenodo.17666223,41,2025,openalex,first,"Asanza Espinoza, Janeth Del Carmen",,,University of Guayaquil,EC,"Asanza Espinoza, Janeth Del Carmen"
10.5281/zenodo.17666731,41,2025,openalex,first,"Rodriguez, M.",,,Bolivarian University of Venezuela,VE,"Rodriguez, M."
10.5281/zenodo.17694557,41,2025,openalex,first,"Lara Espinoza, Ginger Marilu",,,Universidad Estatal de Bolívar,EC,"Lara Espinoza, Ginger Marilu"
10.5281/zenodo.17797086,41,2025,openalex,first,"Meneses Álvarez., Dra. Sara",,,Pontificia Universidad Católica del Ecuador,EC,"Meneses Álvarez., Dra. Sara"
10.5281/zenodo.17874364,41,2025,openalex,first,"Smarandache, Florentin",,,Universidad Autónoma de Nuevo León,MX,"Smarandache, Florentin"
10.5281/zenodo.17970201,41,2025,openalex,first,"Saa-Litardo, Erick Alfredo",,,Bolivarian University of Venezuela|Universidad Estatal de Bolívar|Universidad Andina Simón Bolívar,EC|VE,"Saa-Litardo, Erick Alfredo"
10.5281/zenodo.18041589,41,2025,openalex,first,Andrea Mariel Malavé Gómez,,https://openalex.org/A5121296395,Universidad Estatal de Milagro,EC,Andrea Mariel Malavé Gómez
10.5281/zenodo.18041986,41,2025,openalex,first,Ely Stefanie Parra Tauriz,,https://openalex.org/A5121297664,Universidad Bolivariana del Ecuador,EC,Ely Stefanie Parra Tauriz
