doi,volume,year,source,position,name,orcid,oa_author_id,institutions,countries,name_norm,canon,init_key,orcid_clean,oa_id_clean,cluster_root,cluster_id,name_canonical
10.5281/zenodo.18215326,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122749570,,,Takaaki Fujita,fujita takaaki,t|fujita,,https://openalex.org/A5122749570,65,42,"Fujita, Takaaki"
10.5281/zenodo.18217066,42,2026,openalex,first,Freddy Rodrigo Puedma Acaro,,https://openalex.org/A5122834922,Universidad Estatal de Bolívar|University of Guayaquil,EC,Freddy Rodrigo Puedma Acaro,acaro freddy puedma rodrigo,f|acaro puedma rodrigo,,https://openalex.org/A5122834922,1,0,Freddy Rodrigo Puedma Acaro
10.5281/zenodo.18227662,42,2026,openalex,first,Maico Alexander Almeida Almeida,,https://openalex.org/A5122971135,University of Guayaquil|Universidad Estatal de Bolívar,EC,Maico Alexander Almeida Almeida,alexander almeida almeida maico,m|alexander almeida almeida,,https://openalex.org/A5122971135,30,22,Maico Alexander Almeida Almeida
10.5281/zenodo.18227671,42,2026,openalex,first,Takaaki Fujita,,https://openalex.org/A5122917871,,,Takaaki Fujita,fujita takaaki,t|fujita,,https://openalex.org/A5122917871,65,42,"Fujita, Takaaki"
10.5281/zenodo.18276658,42,2026,openalex,first,Josué Abraham Guillén Bobadilla,,https://openalex.org/A5123259009,University of Guayaquil,EC,Josué Abraham Guillén Bobadilla,abraham bobadilla guillen josue,j|abraham bobadilla guillen,,https://openalex.org/A5123259009,4,1,Josué Abraham Guillén Bobadilla
10.5281/zenodo.18276679,42,2026,openalex,first,Ing. Jonathan Kenny Vera Macias,,https://openalex.org/A5123252585,Universidad Bolivariana del Ecuador,EC,Ing. Jonathan Kenny Vera Macias,ing jonathan kenny macias vera,i|jonathan kenny macias vera,,https://openalex.org/A5123252585,5,2,Ing. Jonathan Kenny Vera Macias
10.5281/zenodo.18276695,42,2026,openalex,first,Fernando Eduardo Alvarado Véliz,,https://openalex.org/A5123287339,"Universidad Estatal de Bolívar|""Hadji Dimitar"" Hospital|Universidad Agraria del Ecuador",BG|EC,Fernando Eduardo Alvarado Véliz,alvarado eduardo fernando veliz,f|alvarado eduardo veliz,,https://openalex.org/A5123287339,297,149,Fernando Eduardo Alvarado Véliz
10.5281/zenodo.18294361,42,2026,openalex,first,Ing. Bradley Corro,,https://openalex.org/A5123283554,Universidad Bolivariana del Ecuador,EC,Ing. Bradley Corro,bradley corro ing,i|bradley corro,,https://openalex.org/A5123283554,7,3,Ing. Bradley Corro
10.5281/zenodo.18294378,42,2026,openalex,first,Juan José Calle De La A,,https://openalex.org/A5123278824,Universidad Bolivariana del Ecuador,EC,Juan José Calle De La A,calle jose juan,j|calle jose,,https://openalex.org/A5123278824,8,4,Juan José Calle De La A
10.5281/zenodo.18307265,42,2026,openalex,first,Maikel Leyva,,https://openalex.org/A5107884004,University of Guayaquil,EC,Maikel Leyva,leyva maikel,m|leyva,,https://openalex.org/A5107884004,9,5,Maikel Leyva
10.5281/zenodo.18330231,42,2026,openalex,first,Evelyn Esthefani Checa Infante,,https://openalex.org/A5123537615,Portuguese School of Bank Management,PT,Evelyn Esthefani Checa Infante,checa esthefani evelyn infante,e|checa esthefani infante,,https://openalex.org/A5123537615,10,6,Evelyn Esthefani Checa Infante
10.5281/zenodo.18331786,42,2026,openalex,first,Yismandry González Vargas,,https://openalex.org/A5121147176,University of Holguín,CU,Yismandry González Vargas,gonzalez vargas yismandry,y|gonzalez vargas,,https://openalex.org/A5121147176,858,457,Yismandry González Vargas
