doi,concept,level,score
10.5281/zenodo.18276679,Humanities,1,0.5249999761581421
10.5281/zenodo.18276679,Geography,0,0.30660000443458557
10.5281/zenodo.18276679,Welfare economics,1,0.29429998993873596
10.5281/zenodo.18276679,Computer science,0,0.25940001010894775
10.5281/zenodo.18276679,Political science,0,0.25429999828338623
10.5281/zenodo.18276679,Economics,0,0.2468000054359436
10.5281/zenodo.18276679,Latin Americans,2,0.20749999582767487
10.5281/zenodo.18276679,Work (physics),2,0.2070000022649765
10.5281/zenodo.18276679,Population,2,0.20489999651908875
10.5281/zenodo.18276679,Order (exchange),2,0.19009999930858612
10.5281/zenodo.18294361,Humanities,1,0.678600013256073
10.5281/zenodo.18294361,Political science,0,0.4523000121116638
10.5281/zenodo.18294361,Geocoding,2,0.2433999925851822
10.5281/zenodo.18294361,Philosophy,0,0.23970000445842743
10.5281/zenodo.18294361,Cartography,1,0.2143000066280365
10.5281/zenodo.18294361,Geography,0,0.20720000565052032
10.5281/zenodo.18294361,Computer science,0,0.163100004196167
10.5281/zenodo.18294361,Context (archaeology),2,0.15320000052452087
10.5281/zenodo.18294361,Domain (mathematical analysis),2,0.13019999861717224
10.5281/zenodo.18294361,Sociology,0,0.12160000205039978
10.5281/zenodo.18227662,Welfare economics,1,0.46790000796318054
10.5281/zenodo.18227662,Humanities,1,0.43529999256134033
10.5281/zenodo.18227662,Political science,0,0.26460000872612
10.5281/zenodo.18227662,Economics,0,0.24480000138282776
10.5281/zenodo.18227662,Geography,0,0.23270000517368317
10.5281/zenodo.18227662,Economic analysis,2,0.20890000462532043
10.5281/zenodo.18227662,TOPSIS,2,0.20749999582767487
10.5281/zenodo.18227662,Mathematics,0,0.1655000001192093
10.5281/zenodo.18227662,Philosophy,0,0.16200000047683716
10.5281/zenodo.18227662,Operations management,1,0.15970000624656677
10.5281/zenodo.18276658,Humanities,1,0.5929999947547913
10.5281/zenodo.18276658,Sociology,0,0.39739999175071716
10.5281/zenodo.18276658,Art,0,0.2734000086784363
10.5281/zenodo.18276658,Political science,0,0.2513999938964844
10.5281/zenodo.18276658,Geography,0,0.22920000553131104
10.5281/zenodo.18276658,Cartography,1,0.20389999449253082
10.5281/zenodo.18276658,Welfare economics,1,0.17749999463558197
10.5281/zenodo.18276658,Philosophy,0,0.16300000250339508
