doi,pdf_url,local_path,status,size,info
10.5281/zenodo.17102951,https://fs.unm.edu/NCML/9.DesarrolloCompetencias.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17102951.pdf,exists,802199,
10.5281/zenodo.16917108,https://fs.unm.edu/NCML/21.EscalaLinguisticaValoracion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16917108.pdf,exists,293969,
10.5281/zenodo.17220701,https://fs.unm.edu/NCML/30.ReinventingEducation.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17220701.pdf,exists,1419920,
10.5281/zenodo.15588206,https://fs.unm.edu/NCML/11.%20InvestigacionTransformadora.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15588206.pdf,exists,784941,
10.5281/zenodo.15611755,https://fs.unm.edu/NCML/32.%20turisticosostenible.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15611755.pdf,exists,460709,
10.5281/zenodo.18991384,https://fs.unm.edu/NCML/21-328-347AnalisisCumplimientoObligacionesContables.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18991384.pdf,exists,1013319,
10.5281/zenodo.15200489,https://fs.unm.edu/NCML/8.ciberseguridad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200489.pdf,exists,491326,
10.5281/zenodo.17636297,https://fs.unm.edu/NCML/17-264-269Implementaci%C3%B3nplataformaciudadana%20digital.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17636297.pdf,exists,590118,
10.5281/zenodo.17139433,https://fs.unm.edu/NCML/8.CalidadUniversitaria.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17139433.pdf,exists,1470922,
10.5281/zenodo.16917082,https://fs.unm.edu/NCML/20.AnalisisNeutrosoficoCultura.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16917082.pdf,exists,726344,
10.5281/zenodo.17220695,https://fs.unm.edu/NCML/29.CombinacionesCausalesRPA.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17220695.pdf,exists,654747,
10.5281/zenodo.15580305,https://fs.unm.edu/NCML/10.%20AdministrativoEcuador.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15580305.pdf,exists,547747,
10.5281/zenodo.15611728,https://fs.unm.edu/NCML/31.%20admisiblescriminalizacion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15611728.pdf,exists,495371,
10.5281/zenodo.18215326,https://fs.unm.edu/NCML/20-315-327ModeloGobernanzaDigitalAgroturismoInteligente.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18215326.pdf,exists,459997,
10.5281/zenodo.17613979,https://fs.unm.edu/NCML/16-244-263Priorizaci%C3%B3nSolucionesTecnol%C3%B3gicasTransformaci%C3%B3n.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17613979.pdf,exists,892277,
10.5281/zenodo.17082593,https://fs.unm.edu/NCML/7.EstudioFactibilidadTIC.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17082593.pdf,exists,902664,
10.5281/zenodo.16917070,https://fs.unm.edu/NCML/19.AnalisisEstadisticoConocimiento.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16917070.pdf,exists,302246,
10.5281/zenodo.17220686,https://fs.unm.edu/NCML/28.IntegracionMapasCognitivos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17220686.pdf,exists,1456628,
10.5281/zenodo.15580290,https://fs.unm.edu/NCML/9.%20basadacostumbresdesafios.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15580290.pdf,exists,482777,
10.5281/zenodo.15601762,https://fs.unm.edu/NCML/30.%20violacioninversaalsujeto.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15601762.pdf,exists,533797,
10.5281/zenodo.17402872,https://fs.unm.edu/NCML/8-113-125LaNeutrosof%C3%ADaInteligenciaArtificial.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17402872.pdf,exists,922099,
10.5281/zenodo.15200434,https://fs.unm.edu/NCML/6.PatternsFactors.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200434.pdf,exists,606610,
10.5281/zenodo.18331786,https://fs.unm.edu/NCML/12-205-217ModeloPredictivo%20NeutrosoficoLogistico.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18331786.pdf,exists,1083324,
