doi,volume,year,title_local,c
10.54216/IJNS.150203,39,2025,Indeterminaci o n en las Teor i as Neutrosóficas y sus Aplicaciones,20.0
10.5281/zenodo.12657487,32,2024,M�todo multicriterio neutros�fico para evaluar la eficacia de las medidas socio educativas en adolescentes infractores en Riobamba,1.0
10.5281/zenodo.8408659,28,2023,"An�lisis estad�stico neutros�fico para la valoraci�n de factores de riesgo asociados a la gastritis en estudiantes de la carrera de enfermer�a universidad UNIANDES, periodo octubre 2022 - marzo 2023",1.0
10.5281/zenodo.6772463,21,2022,M�todo para el control de perfiles epidemiol�gicos de las Infecciones Asociadas a la Atenci�n Sanitaria y la resistencia antimicrobiana,1.0
10.5281/zenodo.5111730,17,2021,La historia en el desarrollo local con fines educativos,1.0
10.5281/zenodo.4679890,16,2021,CRISP-DM y K-means neutrosof�a en el an�lisis de factores de riesgo de p�rdida de audici�n en ni�os,1.0
10.5281/zenodo.1490425,3,2018,"Conjunto plitog�nico, una extensi�n de los conjuntos crisp, difusos, conjuntos difusos intuicionistas y neutros�ficos revisitado",1.0
10.5281/zenodo.1254944,1,2018,Modelos mentales y mapas cognitivos neutrosoficos,1.0
10.5281/zenodo.18276679,42,2026,Análisis predictivo de salarios de desarrolladores latinoamericanos con encuesta Stack Overflow 2025,0.0
10.5281/zenodo.18276695,42,2026,Inteligencia de negocios para optimizar el desempeño de asesores educativos en educación superior privada,0.0
10.5281/zenodo.18294361,42,2026,"Framework Neutrosófico N-AHP-N-TOPSIS asistido por LLMs para la Selección de Plataformas Cloud y Prácticas DevOps en Aseguradoras del Ecuador: Modelo, Caso de Estudio, Sensibilidad y Reproducibilidad",0.0
10.5281/zenodo.1490431,3,2018,"La neutrosof�a para el an�lisis de la inteligencia emocional de los estudiantes de la carrera de Psicolog�a de la Universidad T�cnica de Manab�, Ecuador",0.0
10.5281/zenodo.18331786,42,2026,Modelo Predictivo Neutrosófico-Logístico para la Identificación de Alteraciones Visuales optométricas en Contextos de Alta Incertidumbre Clínica,0.0
10.5281/zenodo.18344126,42,2026,"Las curvas, superficies y geometrías de Smarandache como marcos en geometría diferencial y matemáticas fundamentales",0.0
10.5281/zenodo.18354703,42,2026,Framework Neutrosófico AHP-TOPSIS asistido por una Cadena de Expertos para la toma de decisiones estratégicas de Transformación Digital en Instituciones de Educación Superior,0.0
10.5281/zenodo.18905639,42,2026,Detección Y Prevención De Vínculos Indebidos Entre Proveedores Y Funcionarios Evaluadores En Los Procesos De Contratación Pública Del Ecuador,0.0
10.5281/zenodo.18932284,42,2026,Arquitectura institucional para optimizar planificación de adquisiciones públicas en el GAD Salcedo,0.0
10.5281/zenodo.18932300,42,2026,"Evaluación de la eficiencia del Plan Anual de Contratación en el Gobierno Autónomo Descentralizado de Salcedo, Cotopaxi",0.0
10.5281/zenodo.18932322,42,2026,Impacto de los Agentes de Inteligencia Artificial en las Aplicaciones del Siglo XXI y su Influencia en el Desempeño y la Utilidad,0.0
10.5281/zenodo.18905720,42,2026,"Análisis de viabilidad financiera de proyectos innovadores de diversificación productiva en comunidades rurales de Jipijapa, Manabí, mediante NAHP",0.0
10.5281/zenodo.18215326,42,2026,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,0.0
10.5281/zenodo.18991384,42,2026,"Análisis del Cumplimiento de Obligaciones Contables en Negocios Populares: Evidencia Empírica de la Parroquia San Lorenzo, Jipijapa",0.0
10.5281/zenodo.18991653,42,2026,Percepción de la Programación Financiera y su Influencia en la Sostenibilidad Económica de GAD Parroquiales: Caso La Unión,0.0
10.5281/zenodo.19075590,42,2026,Formulación y Validación de Hipótesis Plitogénicas Neutrosóficas para la Predicción de Eficiencia en Subasta Inversa Electrónica tras Reformas Ley Contratación Pública Ecuador,0.0
10.5281/zenodo.19078554,42,2026,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP-TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,0.0
