topic,size,top_terms
14,62,"estudiantes, aprendizaje, learning, students, docentes, educacion, formacion, educational, emociones, student, desarrollo, proceso"
7,50,"smarandache, sets, neutro, logic, anti, geometria, geometry, classical, soft, florentin, florentin smarandache, extension"
4,46,"digital, local, financial, municipal, sustainability, sostenibilidad, ideal, topsis, sector, efficiency, gestion, eficiencia"
22,42,"dental, paciente, objetivo, oral, gingivitis, tratamiento, pacientes, dentales, bucal, patients, tejidos, tiene"
0,40,"ecuador, derechos, legal, rights, judicial, derecho, violencia, right, civil, juridico, datos, legislative"
17,39,"labor, migrantes, ecuador, laboral, derechos, rights, migrants, legal, derecho, pensiones, migrant, public"
9,39,"violencia, violence, victimas, sexual, victims, social, child, judicial, psychological, legal, hijos, criminal"
12,35,"enfermedad, disease, virus, sindrome, syndrome, covid, clinical, infecciones, gatos, infections, tratamiento, infeccion"
23,35,"penal, criminal, legal, derecho, judicial, derechos, justicia, delito, principio, objetivo, jueces, justice"
16,32,"artificial, software, svns, metodologia desarrollo, inteligencia artificial, topsis, desarrollo, inteligencia, security, indeterminacy, aplicaciones, desarrollo software"
20,31,"depresion, depression, older, adultos mayores, pacientes, older adults, mayores, mental, trastornos, adultos, rehabilitacion, adults"
2,30,"fsqca, artificial, aprendizaje, learning, configuraciones, random forest, forest, configurations, indeterminacy, deporte, datos, factores"
3,27,"trauma, pacientes, injury, angulo, brain, patients, complicaciones, tratamiento, periodontal, treatment, complications, periodontitis"
10,26,"clinical, disinfection, desinfeccion, artificial, clinicos, medical, periapical, datos, terminal, surgical, pacientes, diagnostico"
13,26,"embarazo, pregnancy, materna, pregnant, mujeres, salud, test, maternal, women, health, alimentacion, risk factors"
21,24,"water, derechos, rights, pollution, contaminacion, covid, ecuador, agua, health, waste, deuda, debt"
11,23,"diabetes, diabetes mellitus, mellitus, obesidad, obesity, enfermedades, oral, periodontal, hipertension, pacientes, factores, arterial"
15,22,"ecuador, territorial, derechos, rights, legal, indigenous, indigenas, comunidades, proteccion, communities, derecho, ambiental"
18,21,"site, vehiculos, erosion, vehicle, materiales, operational, motor, trafico, energy, materials, electric, performance"
1,19,"cuidados, enfermeria, care, nursing, atencion, pacientes, hospital, calidad, salud, paciente, leptospirosis, patient"
5,17,"discrecionalidad, tributarias, administrative, constitucionales, administrativo, tributaria, administracion, administracion publica, public, tributario, recopilados, public administration"
6,16,"fauna, derechos, animales, animal, derecho, legal, rights, animals, proteccion, social, protection, urban"
19,14,"pedagogica, pedagogicas, formacion, profesional, contabilidad finanzas, competencia, docente, pasos, contabilidad, finanzas, estrategia pedagogica, institutos"
8,9,"enfermeria, innovacion, ciencias medicas, emociones, medicas, docentes, emotions, estudiantes, ciencias, guantanamo realizo, guantanamo, medicas guantanamo"
