doi,volume,year,pages_start,pages_end,pdf_url,title_local,authors_local,n_authors_local,oa_id,oa_title,oa_cited_by,oa_n_authors,oa_type,oa_is_oa,oa_countries,oa_institutions,oa_concepts_top,dc_views,dc_downloads,dc_citations,dc_publisher,dc_pubyear
10.5281/zenodo.18215326,42,2026,1,42,https://fs.unm.edu/NCML/1-1-42EnhancedConceptsMethodsRepresentingRealLife.pdf,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,"Takaaki Fujita, Volkan Duran, Ajoy Kanti Das, Suman Das, Arif Mehmood, Talal Al-Hawary, Arkan A. Ghaib, Sankar Prasad Mondal, Mithun Datta",9,https://openalex.org/W7122586221,Enhanced Concepts and Methods for Representing Real-Life Logical Correctness in Fuzzy Frameworks,0,1,article,True,,,Correctness|Falsity|Fuzzy logic|Computer science|Operator (biology),0,0,0,Zenodo,2026
10.5281/zenodo.18217066,42,2026,43,52,https://fs.unm.edu/NCML/2-43-52SistemaIOTBasadoTecnicasVisionArtificial.pdf,Sistema IOT Basado En Técnicas De Visión Artificial Para La Prevención De Accidentes En Piscinas,"Freddy Rodrigo Puedma Acaro, Roberto Felipe Chuchimbe Proaño",2,https://openalex.org/W7123263215,Sistema IOT Basado En Técnicas De Visión Artificial Para La Prevención De Accidentes En Piscinas,0,1,article,True,EC,Universidad Estatal de Bolívar|University of Guayaquil,Humanities|Cartography|Computer science|Geography|Internet of Things,0,0,0,Zenodo,2026
10.5281/zenodo.18227662,42,2026,53,64,https://fs.unm.edu/NCML/3-53-64SistemaSeleccionEstrategiasRecuperacion.pdf,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP-TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,"Maico Alexander Almeida Almeida, Laura Eledina Gutierrez Merchan",2,https://openalex.org/W7123975140,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP– TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,0,1,article,True,EC,Universidad Estatal de Bolívar|University of Guayaquil,Welfare economics|Humanities|Political science|Economics|Geography,0,0,0,Zenodo,2026
10.5281/zenodo.18227671,42,2026,65,87,https://fs.unm.edu/NCML/4-65-87MultiTreeSoftPseudoTreeSoftHyperTreeSoft.pdf,"MultiTree-Soft, PseudoTree-Soft Set, HyperTree-Soft, and Tree-to-Tree-Soft Set","Takaaki Fujita, Arif Mehmood, Ajoy Kanti Das, Suman Das, Volkan Duran, Arkan A. Ghaib, Talal Al-Hawary",7,https://openalex.org/W7123479180,"MultiTree-Soft, PseudoTree-Soft Set, HyperTree-Soft, and Tree-to-Tree-Soft Set",0,1,article,True,,,Hypergraph|Set (abstract data type)|Theoretical computer science|Fuzzy set|Extension (predicate logic),0,0,0,Zenodo,2026
10.5281/zenodo.18276658,42,2026,88,97,https://fs.unm.edu/NCML/5-88-97AnalisisNeutrosoficoFuzzySetQCA.pdf,Análisis Neutrosófico Fuzzy-Set QCA del Impacto de la Inteligencia Artificial Generativa en el Desempeño Académico de Estudiantes de Programación: Una Perspectiva Epistémica Basada en Datos,"Josué Abraham Guillén Bobadilla, Maikel Yelandy Leyva Vázquez",2,https://openalex.org/W7124627774,Análisis Neutrosófico Fuzzy-Set QCA del Impacto de la Inteligencia Artificial Generativa en el Desempeño Académico de Estudiantes de Programación: Una Perspectiva Epistémica Basada en Datos,0,1,article,True,EC,University of Guayaquil,Humanities|Sociology|Art|Political science|Geography,0,0,0,Zenodo,2026
10.5281/zenodo.18276679,42,2026,98,107,https://fs.unm.edu/NCML/6-98-107AnalisisPredictivo%20SalariosDesarrolladoresLatinoamericanos.pdf,Análisis predictivo de salarios de desarrolladores latinoamericanos con encuesta Stack Overflow 2025,"Jonathan Kenny Vera Macias, Miguel Angel Quiroz Martinez, Dayron Rumbaut Rangel",3,https://openalex.org/W7124537161,Análisis predictivo de salarios de desarrolladores latinoamericanos con encuesta Stack Overflow 2025,0,1,article,True,EC,Universidad Bolivariana del Ecuador,Humanities|Geography|Welfare economics|Computer science|Political science,0,0,0,Zenodo,2026
10.5281/zenodo.18276695,42,2026,108,127,https://fs.unm.edu/NCML/7-108-127InteligenciaNegociosOptimizarDesempenoAsesores.pdf,Inteligencia de negocios para optimizar el desempeño de asesores educativos en educación superior privada,"Fernando Eduardo Alvarado Véliz, Johanna Irene Escobar Jara, Dayron Rumbaut Rangel",3,https://openalex.org/W7124626824,Inteligencia de negocios para optimizar el desempeño de asesores educativos en educación superior privada,0,1,article,True,BG|EC,"""Hadji Dimitar"" Hospital|Universidad Agraria del Ecuador|Universidad Estatal de Bolívar",Political science|Humanities|Hierarchy|Philosophy|Business,0,0,0,Zenodo,2026
10.5281/zenodo.18294361,42,2026,128,156,https://fs.unm.edu/NCML/8-128-156FrameworkNeutrosoficoNAHPNTOPSIS.pdf,"Framework Neutrosófico N-AHP-N-TOPSIS asistido por LLMs para la Selección de Plataformas Cloud y Prácticas DevOps en Aseguradoras del Ecuador: Modelo, Caso de Estudio, Sensibilidad y Reproducibilidad",Bradley Corro,1,https://openalex.org/W7124557451,"Framework Neutrosófico N–AHP–N–TOPSIS asistido por LLMs para la Selección de Plataformas Cloud y Prácticas DevOps en Aseguradoras del Ecuador: Modelo, Caso de Estudio, Sensibilidad y Reproducibilidad",0,1,article,True,EC,Universidad Bolivariana del Ecuador,Humanities|Political science|Geocoding|Philosophy|Cartography,0,0,0,Zenodo,2026
10.5281/zenodo.18294378,42,2026,157,166,https://fs.unm.edu/NCML/9-157-166SeleccionNeutrosofica%20AHPTOPSISProveedores.pdf,Selección Neutrosófica AHP-TOPSIS de Proveedores Tecnológicos en Seguridad Informática para una Institución Financiera,Juan José Calle De La A,1,https://openalex.org/W7124551056,Selección Neutrosófica AHP–TOPSIS de Proveedores Tecnológicos en Seguridad Informática para una Institución Financiera,0,1,article,True,EC,Universidad Bolivariana del Ecuador,Humanities|Political science|Philosophy|Business|Domain (mathematical analysis),0,0,0,Zenodo,2026
10.5281/zenodo.18307265,42,2026,167,177,https://fs.unm.edu/NCML/10-167-177NeutrosophicAnalysisCompetingHypotheses.pdf,Neutrosophic Analysis of Competing Hypotheses (NACH): A Novel Framework for Complex Causal Modeling with Applications to Climate Change and Urban Violence,"Maikel Y. Leyva, Florentin Smarandache",2,https://openalex.org/W7124912335,Neutrosophic Analysis of Competing Hypotheses (NACH) A Novel Framework for Complex Causal Modeling with Applications to Climate Change and Urban Violence,0,1,article,True,EC,University of Guayaquil,Welfare economics|Geography|Humanities|Political science|Climate change,0,0,0,Zenodo,2026
