cluster_id,name,articles,T_prod,I_prod,F_prod,T_cite,I_cite,F_cite,T_coauth,I_coauth,F_coauth,T_theory,I_theory,F_theory,T_agg,I_agg,F_agg,score,rank_classical,rank_neutro,rank_change
42,"Fujita, Takaaki",10,0.668,0.229,0.103,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.8395066901584583e-05,0.0026788710396739262,0.9991009112978081,7,1,6
1302,Florentin Smarandache,25,0.997,0.0,0.003,0.085,0.512,0.404,0.19,0.402,0.408,0.885,0.077,0.038,0.8735463696471195,0.001995247084169726,0.06583951073300161,0.935237203943316,2,2,0
860,Carmen Marina Méndez Cabrita,29,0.999,0.0,0.001,0.0,0.5,0.5,0.132,0.424,0.444,0.069,0.379,0.552,0.8313962027628539,0.0029939446540133015,0.10521387432044718,0.9077294612627979,1,3,-2
1362,Maikel Leyva Vázquez,19,0.979,0.001,0.02,0.032,0.468,0.5,0.097,0.444,0.459,0.789,0.158,0.053,0.7505312135458296,0.07569574671823302,0.12488841066274786,0.8499823520549495,3,4,-1
601,Josía Jeseff Isea Arguelles,14,0.891,0.04,0.069,0.0,0.536,0.464,0.131,0.422,0.447,0.071,0.357,0.571,0.4553525219719271,0.23839731624114857,0.3006614001990045,0.6387646018439247,4,5,-1
820,"Lozada Torres, Edwin Fabricio",3,0.148,0.441,0.411,0.0,0.5,0.5,0.157,0.403,0.44,0.667,0.333,0.0,0.3006769377626334,0.41475293535311486,0.0030836574321643664,0.6276134483257847,87,6,81
930,José Arturo Molina Ramón,5,0.259,0.5,0.241,0.0,0.5,0.5,0.362,0.281,0.357,0.4,0.0,0.6,0.27021062839596455,0.002895086752952337,0.40082207164427547,0.622164489999579,35,7,28
839,Mónica Alexandra Bustos Villarreal,7,0.413,0.441,0.145,0.0,0.5,0.5,0.406,0.261,0.333,0.0,0.0,1.0,0.23156677144153537,0.0027543065524082734,0.39418088481171015,0.6115438600258057,15,8,7
156,"Parrales-Bravo, Franklin",3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.667,0.333,0.0,0.2701712677987126,0.4377293909533536,0.0031837976484627045,0.609752693065632,87,9,78
1113,Rómulo Guillermo López Torres,8,0.5,0.377,0.123,0.0,0.5,0.5,0.109,0.44,0.451,0.0,0.0,1.0,0.18301905580904054,0.003017803846511893,0.4080965416357227,0.5906349034422688,13,10,3
744,Santiago Fernando Fiallos Bonilla,12,0.802,0.108,0.09,0.0,0.5,0.5,0.138,0.421,0.44,0.083,0.667,0.25,0.37102201071585406,0.35091377965630716,0.2652475002659807,0.5849535769311887,5,11,-6
1346,Maikel Leyva V�zquez,3,0.148,0.441,0.411,0.0,0.625,0.375,0.0,0.5,0.5,0.5,0.0,0.5,0.1921096892334071,0.0034262744901531017,0.4430505444354357,0.5818776234359394,87,12,75
929,Johanna Elizabeth Fiallos Sánchez,6,0.332,0.485,0.184,0.0,0.5,0.5,0.146,0.413,0.441,0.167,0.0,0.833,0.16972906779552588,0.0031634825896760125,0.42876354654069476,0.5792673462217184,20,13,7
837,Mayra Jeaneth Jiménez Jiménez,6,0.332,0.485,0.184,0.0,0.5,0.5,0.275,0.341,0.384,0.0,0.0,1.0,0.16578380441199325,0.003015549977082158,0.43354058863217365,0.5764092219342458,20,14,6
635,Ned Vito Quevedo Arnaiz,11,0.741,0.162,0.097,0.0,0.5,0.5,0.34,0.308,0.351,0.0,0.636,0.364,0.3570000714157867,0.35491406686080074,0.28056762745697256,0.5738394590326711,6,15,-9
813,Juan Diego Zurita Vargas,6,0.332,0.485,0.184,0.0,0.5,0.5,0.334,0.307,0.359,0.167,0.833,0.0,0.21976770374529353,0.49902669672854616,0.002397289973487296,0.5727812390144201,20,16,4
730,Carlos Luis Villalba León,3,0.148,0.441,0.411,0.0,0.333,0.667,0.342,0.296,0.362,0.333,0.0,0.667,0.218016066050151,0.0025676961712366537,0.5072248414461562,0.5694078428109194,87,17,70
1114,Verónica Alejandra Salame Ortiz,6,0.332,0.485,0.184,0.0,0.5,0.5,0.164,0.409,0.427,0.0,0.0,1.0,0.13553844300803808,0.0031557948473405744,0.44519873904361473,0.562394636372361,20,18,2
810,Giovanny Vinicio Pineda Silva,5,0.259,0.5,0.241,0.0,0.5,0.5,0.279,0.334,0.386,0.2,0.8,0.0,0.1914425839180427,0.5083866242009143,0.0026115213933889064,0.5601481461079132,35,19,16
1229,"Alvarado, Yelena Abreu",3,0.148,0.441,0.411,0.0,0.333,0.667,0.342,0.296,0.362,0.0,1.0,0.0,0.1347006611607382,0.4566081232545917,0.003156233002146002,0.5583121016346668,87,20,67
1230,"Alonso, Liliana Alvarez",3,0.148,0.441,0.411,0.0,0.333,0.667,0.342,0.296,0.362,0.0,1.0,0.0,0.1347006611607382,0.4566081232545917,0.003156233002146002,0.5583121016346668,87,20,67
729,Gabriela Lizeth Carrera Guanga,4,0.198,0.485,0.318,0.0,0.375,0.625,0.205,0.378,0.417,0.25,0.0,0.75,0.1684264063946853,0.0028794941565680817,0.49931672568417623,0.555410062184647,52,22,30
1116,Nairovys Gómez Martínez,6,0.332,0.485,0.184,0.0,0.417,0.583,0.158,0.405,0.437,0.0,0.0,1.0,0.13399153275326237,0.003008383542591391,0.46530953672772285,0.555224537494316,20,23,-3
570,Andrés Sebastián Villacrés Quintana,4,0.198,0.485,0.318,0.0,0.5,0.5,0.197,0.379,0.425,0.25,0.75,0.0,0.16634224570595912,0.5123928419350006,0.0028671242474038274,0.5503607598411848,52,24,28
1125,Gabriela Liseth Vaca Altamirano,6,0.332,0.485,0.184,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.11124750188466692,0.0032498805123000285,0.45721488340130473,0.5502609126570206,20,25,-5
1204,Yusleidy Marlie Gordo Gómez,4,0.198,0.485,0.318,0.0,0.5,0.5,0.079,0.454,0.467,0.25,0.0,0.75,0.13727215497983403,0.003239230842589265,0.48578468286173504,0.54941608042517,52,26,26
748,Adriano Israel Tello Velasteguí,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.333,0.667,0.0,0.14645175027740687,0.5100033923265576,0.003143231433681896,0.544435042172389,87,27,60
569,Stefania Raimondi Romero,3,0.148,0.441,0.411,0.0,0.5,0.5,0.056,0.465,0.479,0.333,0.667,0.0,0.14417620822781385,0.5113836576998215,0.003149827968247012,0.5432142408532484,87,28,59
1120,Riber Fabián Donoso Noroña,4,0.198,0.485,0.318,0.0,0.5,0.5,0.284,0.329,0.387,0.0,0.0,1.0,0.12949384250551288,0.002988662746958352,0.4980546765682152,0.5428168343967797,52,29,23
1119,Adisnay Rodríguez Plasencia,5,0.259,0.5,0.241,0.0,0.5,0.5,0.147,0.409,0.444,0.0,0.0,1.0,0.10835534695089621,0.003179917327239553,0.4809417776207579,0.5414112173342994,35,30,5
618,Paúl Orlando Piray Rodríguez,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.333,0.0,0.667,0.13175686735009506,0.00324037034920393,0.5116546390396807,0.5389539526537367,87,31,56
814,"Viscaino Naranjo, Fausto Alberto",5,0.259,0.5,0.241,0.0,0.5,0.5,0.203,0.378,0.419,0.6,0.2,0.2,0.3028373210595152,0.37077927510673403,0.3169989081646368,0.5383530459293815,35,32,3
1090,Luis Antonio Llerena Ocaña,5,0.259,0.5,0.241,0.0,0.5,0.5,0.158,0.405,0.437,0.6,0.2,0.2,0.29319832084505226,0.3772300289048806,0.3203499200099245,0.5318727906434156,35,33,2
812,Antonio Gabriel Castillo Medina,5,0.259,0.5,0.241,0.0,0.5,0.5,0.244,0.355,0.401,0.0,1.0,0.0,0.13486277206558617,0.545810756760367,0.0026365308349057238,0.5288051614901045,35,34,1
636,Julio Rodrigo Morillo Cano,5,0.259,0.5,0.241,0.0,0.5,0.5,0.039,0.476,0.485,0.0,0.0,1.0,0.08138105306784382,0.0033028339520229763,0.4916796076768558,0.5287995371463216,35,35,0
1097,Francisco Xavier Poveda Paredes,3,0.148,0.441,0.411,0.2,0.467,0.333,0.0,0.5,0.5,0.0,0.0,1.0,0.09137978407014247,0.003185527573230789,0.5114627565236457,0.5255771666577553,87,36,51
1064,Carmen Salinas Goodier,5,0.259,0.5,0.241,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.07219960801092928,0.0033437015248821093,0.4954379417976297,0.524472654896139,35,37,-2
1029,Génesis Alexandra Zúñiga Cárdenas,3,0.148,0.441,0.411,0.0,0.333,0.667,0.342,0.296,0.362,0.0,0.0,1.0,0.1347006611607382,0.0025676961712366537,0.561266416100157,0.5236221829631148,87,38,49
1028,Liliana Katherine Sailema López,3,0.148,0.441,0.411,0.0,0.333,0.667,0.342,0.296,0.362,0.0,0.0,1.0,0.1347006611607382,0.0025676961712366537,0.561266416100157,0.5236221829631148,87,38,49
945,Danay Ramos Duharte,3,0.148,0.441,0.411,0.0,0.5,0.5,0.236,0.354,0.41,0.0,1.0,0.0,0.10177893037333696,0.5285705521580365,0.0030296950735440886,0.5233928943805856,87,40,47
403,Jorge Andrés Rodas Buenaño,4,0.198,0.485,0.318,0.0,0.5,0.5,0.225,0.361,0.414,0.0,1.0,0.0,0.11208985634359947,0.5439446833507533,0.002848389435702823,0.5217655945190479,52,41,11
745,Andrea Katherine Bucaram Caicedo,10,0.668,0.229,0.103,0.0,0.5,0.5,0.067,0.463,0.47,0.1,0.6,0.3,0.2733662610130968,0.4223129820730809,0.29191511676654736,0.5197127207244895,7,42,-35
724,Sara Ximena Guerrón Enríquez,4,0.198,0.485,0.318,0.0,0.5,0.5,0.098,0.439,0.463,0.0,0.0,1.0,0.07775730004414827,0.0032121370430098577,0.520888211549929,0.5178856504837365,52,43,9
637,Poled Madeline Chenas Malte,3,0.148,0.441,0.411,0.0,0.5,0.5,0.197,0.379,0.425,0.0,0.0,1.0,0.09052914789204491,0.0030235137706094784,0.5436259618302803,0.5146265574303851,87,44,43
316,Washington Omar Guevara Pérez,3,0.148,0.441,0.411,0.0,0.5,0.5,0.197,0.379,0.425,0.0,0.0,1.0,0.09052914789204491,0.0030235137706094784,0.5436259618302803,0.5146265574303851,87,44,43
504,Julio Cesar Benavides Salazar,3,0.148,0.441,0.411,0.0,0.5,0.5,0.197,0.379,0.425,0.0,0.0,1.0,0.09052914789204491,0.0030235137706094784,0.5436259618302803,0.5146265574303851,87,44,43
1085,Jeanneth Elizabeth Jami Carrera,3,0.148,0.441,0.411,0.0,0.5,0.5,0.197,0.379,0.425,0.0,0.0,1.0,0.09052914789204491,0.0030235137706094784,0.5436259618302803,0.5146265574303851,87,44,43
889,Luis Andrés Crespo Berti,9,0.587,0.303,0.11,0.0,0.556,0.444,0.24,0.359,0.401,0.0,0.333,0.667,0.2515015406421488,0.37671596483124176,0.3380737612962418,0.5122372715048885,9,48,-39
651,Jaine Labrada Ching,4,0.198,0.485,0.318,0.0,0.5,0.5,0.044,0.473,0.483,0.0,0.0,1.0,0.06425381557272536,0.003272602221962552,0.5264244641915757,0.5115189163863957,52,49,3
561,Olga Mireya Alonzo Pico,3,0.148,0.441,0.411,0.0,0.5,0.5,0.157,0.403,0.44,0.0,0.0,1.0,0.0794088572196393,0.003070283014436071,0.5483604519231389,0.5093260407606881,87,50,37
996,Alex Ramón Valencia Herrera,4,0.198,0.485,0.318,0.0,0.375,0.625,0.098,0.439,0.463,0.0,0.0,1.0,0.07775730004414827,0.002989230340326824,0.5507722263578443,0.5079986144486591,52,51,1
534,Nemis García Arias,6,0.332,0.485,0.184,0.0,0.5,0.5,0.495,0.216,0.289,0.0,0.833,0.167,0.23789122892386227,0.4570383296984814,0.2581371645369021,0.5075719115628262,20,52,-32
1017,Mónica Sofía Pallo Sarabia,4,0.198,0.485,0.318,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.05366785653967798,0.0033183365972686706,0.5309966512111293,0.50645095624376,52,53,-1
560,Melba Esperanza Narváez Jaramillo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.131,0.419,0.45,0.0,0.0,1.0,0.07239123726149788,0.0031003138055252536,0.5514499288155719,0.5059469982134669,87,54,33
913,Génesis Ariana Loayza Zambrano,3,0.148,0.441,0.411,0.0,0.5,0.5,0.632,0.132,0.236,0.0,0.333,0.667,0.25170670611907475,0.3137665840594127,0.4240942808313843,0.5046152804094259,87,55,32
315,Oscar David Salazar Correa,3,0.148,0.441,0.411,0.0,0.5,0.5,0.079,0.451,0.47,0.0,0.0,1.0,0.05881541399181489,0.003157884807793084,0.5574775991617226,0.4993933100074332,87,56,31
817,Jeannette Amparito Urrutia Guevara,9,0.587,0.303,0.11,0.0,0.556,0.444,0.157,0.406,0.437,0.0,0.333,0.667,0.23185288043794283,0.3884829131853248,0.3454186094776947,0.49931711925830774,9,57,-48
1173,"Noel, Batista Hernández",3,0.148,0.441,0.411,0.0,0.5,0.5,0.079,0.451,0.47,0.0,1.0,0.0,0.05881541399181489,0.5615601532973162,0.0031349269187653734,0.4980401112585779,87,58,29
398,Nancy Yolanda Urbina Romo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.05551162359336148,0.003173522679760886,0.558954373950364,0.49779457565441226,87,59,28
