source,target,weight,T_collab,I_collab,F_collab
758,759,1,0.0,0.5,0.5
758,760,1,0.0,0.5,0.5
759,760,1,0.0,0.5,0.5
776,777,1,0.0,0.5,0.5
776,1286,1,0.0,0.5,0.5
777,1286,1,0.0,0.5,0.5
778,1041,1,0.0,0.5,0.5
778,1042,1,0.0,0.5,0.5
1041,1042,2,0.393,0.257,0.35
779,780,1,0.0,0.5,0.5
779,781,1,0.0,0.5,0.5
780,781,1,0.0,0.5,0.5
761,762,1,0.0,0.5,0.5
761,860,6,0.918,0.018,0.064
762,860,2,0.393,0.257,0.35
910,911,4,0.777,0.068,0.155
910,912,3,0.632,0.132,0.236
910,913,3,0.632,0.132,0.236
911,912,3,0.632,0.132,0.236
911,913,3,0.632,0.132,0.236
912,913,3,0.632,0.132,0.236
763,764,1,0.0,0.5,0.5
763,886,1,0.0,0.5,0.5
764,886,1,0.0,0.5,0.5
603,765,1,0.0,0.5,0.5
603,766,1,0.0,0.5,0.5
603,767,1,0.0,0.5,0.5
765,766,1,0.0,0.5,0.5
765,767,1,0.0,0.5,0.5
766,767,2,0.393,0.257,0.35
782,783,1,0.0,0.5,0.5
782,784,1,0.0,0.5,0.5
782,785,1,0.0,0.5,0.5
783,784,1,0.0,0.5,0.5
783,785,1,0.0,0.5,0.5
784,785,1,0.0,0.5,0.5
768,769,1,0.0,0.5,0.5
768,1286,1,0.0,0.5,0.5
769,1286,1,0.0,0.5,0.5
786,787,1,0.0,0.5,0.5
786,884,1,0.0,0.5,0.5
787,884,1,0.0,0.5,0.5
770,885,1,0.0,0.5,0.5
770,886,1,0.0,0.5,0.5
885,886,2,0.393,0.257,0.35
771,772,1,0.0,0.5,0.5
771,773,1,0.0,0.5,0.5
772,773,1,0.0,0.5,0.5
788,789,1,0.0,0.5,0.5
788,790,1,0.0,0.5,0.5
788,964,1,0.0,0.5,0.5
789,790,1,0.0,0.5,0.5
789,964,1,0.0,0.5,0.5
790,964,1,0.0,0.5,0.5
774,775,1,0.0,0.5,0.5
774,920,1,0.0,0.5,0.5
774,921,1,0.0,0.5,0.5
775,920,1,0.0,0.5,0.5
775,921,1,0.0,0.5,0.5
920,921,2,0.393,0.257,0.35
791,792,1,0.0,0.5,0.5
791,793,1,0.0,0.5,0.5
792,793,2,0.393,0.257,0.35
794,795,1,0.0,0.5,0.5
794,848,1,0.0,0.5,0.5
795,848,1,0.0,0.5,0.5
796,797,1,0.0,0.5,0.5
796,798,1,0.0,0.5,0.5
797,798,1,0.0,0.5,0.5
799,820,1,0.0,0.5,0.5
799,821,1,0.0,0.5,0.5
820,821,2,0.393,0.257,0.35
800,801,1,0.0,0.5,0.5
800,802,1,0.0,0.5,0.5
800,803,1,0.0,0.5,0.5
801,802,1,0.0,0.5,0.5
801,803,1,0.0,0.5,0.5
802,803,1,0.0,0.5,0.5
808,809,1,0.0,0.5,0.5
808,814,2,0.393,0.257,0.35
808,1090,1,0.0,0.5,0.5
809,814,2,0.393,0.257,0.35
809,1090,2,0.393,0.257,0.35
814,1090,3,0.632,0.132,0.236
810,811,1,0.0,0.5,0.5
810,812,2,0.393,0.257,0.35
810,813,4,0.777,0.068,0.155
811,812,1,0.0,0.5,0.5
811,813,1,0.0,0.5,0.5
812,813,4,0.777,0.068,0.155
804,1064,1,0.0,0.5,0.5
804,1113,1,0.0,0.5,0.5
1064,1113,1,0.0,0.5,0.5
929,930,3,0.632,0.132,0.236
929,981,2,0.393,0.257,0.35
930,981,2,0.393,0.257,0.35
814,815,1,0.0,0.5,0.5
814,816,1,0.0,0.5,0.5
815,816,1,0.0,0.5,0.5
815,1090,1,0.0,0.5,0.5
816,1090,1,0.0,0.5,0.5
805,806,1,0.0,0.5,0.5
805,807,1,0.0,0.5,0.5
806,807,1,0.0,0.5,0.5
817,818,4,0.777,0.068,0.155
817,819,2,0.393,0.257,0.35
818,819,1,0.0,0.5,0.5
820,1090,2,0.393,0.257,0.35
821,1090,1,0.0,0.5,0.5
695,780,1,0.0,0.5,0.5
695,860,1,0.0,0.5,0.5
780,860,2,0.393,0.257,0.35
696,762,1,0.0,0.5,0.5
696,860,1,0.0,0.5,0.5
697,698,1,0.0,0.5,0.5
697,1064,1,0.0,0.5,0.5
698,1064,1,0.0,0.5,0.5
699,700,1,0.0,0.5,0.5
699,931,1,0.0,0.5,0.5
699,970,1,0.0,0.5,0.5
700,931,1,0.0,0.5,0.5
700,970,1,0.0,0.5,0.5
931,970,1,0.0,0.5,0.5
701,702,1,0.0,0.5,0.5
701,1081,1,0.0,0.5,0.5
702,1081,1,0.0,0.5,0.5
707,708,1,0.0,0.5,0.5
707,709,1,0.0,0.5,0.5
707,719,1,0.0,0.5,0.5
708,709,1,0.0,0.5,0.5
708,719,1,0.0,0.5,0.5
709,719,1,0.0,0.5,0.5
710,711,1,0.0,0.5,0.5
710,712,1,0.0,0.5,0.5
710,1017,1,0.0,0.5,0.5
711,712,1,0.0,0.5,0.5
711,1017,1,0.0,0.5,0.5
712,1017,1,0.0,0.5,0.5
713,714,1,0.0,0.5,0.5
713,715,1,0.0,0.5,0.5
713,749,1,0.0,0.5,0.5
714,715,1,0.0,0.5,0.5
714,749,1,0.0,0.5,0.5
715,749,1,0.0,0.5,0.5
716,717,1,0.0,0.5,0.5
716,718,1,0.0,0.5,0.5
716,719,1,0.0,0.5,0.5
717,718,1,0.0,0.5,0.5
717,719,1,0.0,0.5,0.5
718,719,1,0.0,0.5,0.5
720,721,1,0.0,0.5,0.5
720,722,1,0.0,0.5,0.5
720,723,1,0.0,0.5,0.5
721,722,1,0.0,0.5,0.5
721,723,1,0.0,0.5,0.5
722,723,1,0.0,0.5,0.5
729,730,3,0.632,0.132,0.236
729,930,2,0.393,0.257,0.35
730,930,2,0.393,0.257,0.35
724,725,1,0.0,0.5,0.5
724,923,1,0.0,0.5,0.5
725,923,1,0.0,0.5,0.5
652,726,1,0.0,0.5,0.5
652,1025,5,0.865,0.035,0.101
726,1025,1,0.0,0.5,0.5
727,808,1,0.0,0.5,0.5
727,814,1,0.0,0.5,0.5
728,729,1,0.0,0.5,0.5
728,730,1,0.0,0.5,0.5
731,732,1,0.0,0.5,0.5
731,733,1,0.0,0.5,0.5
732,733,1,0.0,0.5,0.5
734,735,1,0.0,0.5,0.5
734,736,1,0.0,0.5,0.5
735,736,1,0.0,0.5,0.5
737,741,1,0.0,0.5,0.5
737,742,1,0.0,0.5,0.5
741,742,2,0.393,0.257,0.35
738,739,1,0.0,0.5,0.5
738,746,1,0.0,0.5,0.5
739,746,2,0.393,0.257,0.35
652,740,2,0.393,0.257,0.35
740,1025,2,0.393,0.257,0.35
741,743,1,0.0,0.5,0.5
742,743,1,0.0,0.5,0.5
